Well_ID,S.No,State,District,Taluka,Site,Latitude,Longitude,Year,pH,EC,CO3,Cl,SO4,NO3,TH,Ca,Mg,Na,K,F,TDS,Water_Quality_New
W213320072531501,86,Gujarat,Bharuch,Ankleshwar,Motwan,21.55401,72.882616,2020,8.0,3445.0,0,794.0,287.0,3.3,600.0,124.0,71.0,601.9999999999999,12.0,0.72,2308.0,Poor
W213215072583001,87,Gujarat,Bharuch,Ankleshwar,Panoli,21.536823,72.9751,2020,7.9,2502.0,0,447.0,229.0,28.999999999999996,260.0,40.0,39.0,495.0,0.75,1.6,1676.0,Good
W213450073040501,88,Gujarat,Bharuch,Valia,Kondh,21.577471,73.075975,2020,7.8,847.0,0,71.0,58.0,20.0,200.0,48.0,19.0,97.0,6.3,0.99,567.0,Excellent
W220430071533001,89,Gujarat,Bhavnagar,Vallabhipur,Panvi1,22.070297,71.891905,2020,8.2,1798.0,0,106.0,52.0,2.9,100.0,16.0,15.0,408.00000000000006,4.6,3.8999999999999995,1205.0,Good
W205400071120001,90,Gujarat,Bhavnagar,Umrala,Timbi,21.822818,71.753465,2020,7.2,388.0,0,28.0,21.0,0.61,120.0,32.0,10.0,40.0,1.6999999999999997,0.45,260.0,Excellent
W211150071330001,91,Gujarat,Bhavnagar,Mahuva,Motivadal,21.191504,71.549098,2020,8.2,1273.0,0,170.0,81.0,28.0,510.0,92.0,68.0,110.0,9.2,0.29,853.0,Moderate
W210815071393001,92,Gujarat,Bhavnagar,Mahuva,Dudhala,21.140915,71.651062,2020,8.2,1873.0,0,362.0,99.0,71.0,369.99999999999994,44.00000000000001,63.232,287.0,6.7,0.5,1255.0,Moderate
W255955075410001,93,Gujarat,Bhavnagar,Mahuva,Mahuva,21.099956,71.747011,2020,8.2,4600.0,0,1014.0,190.0,68.0,210.0,24.0,36.48,1007.0,1.9,0.8700000000000001,3082.0,Moderate
W211128071554401,94,Gujarat,Bhavnagar,Mahuva,Bora,21.16294,71.872592,2020,8.6,1566.0,72,78.0,54.0,55.0,70.0,16.0,7.295999999999999,364.0,1.6999999999999997,2.0,1049.0,Moderate
W211315071570001,95,Gujarat,Bhavnagar,Talaja,Datha,21.213852,71.950052,2020,8.1,1228.0,0,213.0,51.0,7.299999999999999,130.0,28.0,14.591999999999999,238.0,6.7,1.3,823.0000000000001,Excellent
W211250071530001,96,Gujarat,Bhavnagar,Mahuva,Longadi,21.213247,71.886063,2020,8.1,668.0,0,64.0,31.000000000000004,4.5,150.0,36.0,14.591999999999999,85.0,27.0,0.57,448.0,Excellent
W211730071580001,97,Gujarat,Bhavnagar,Talaja,Pasvi,21.293417,71.966945,2020,7.8,805.0,0,64.0,46.0,30.999999999999996,330.0,60.0,43.776,50.0,5.9,0.3,539.0000000000001,Excellent
W212246071585001,98,Gujarat,Bhavnagar,Talaja,Kundheli,21.394341,71.963773,2020,7.9,1203.0,0,241.0,83.0,32.0,400.0,80.0,48.64,105.0,0.9,0.34,806.0000000000001,Good
W212200072010001,99,Gujarat,Bhavnagar,Talaja,Talaja2,21.365747,72.020761,2020,8.1,1240.0,0,142.0,61.0,94.0,490.0,92.0,63.00000000000001,89.0,0.56,0.51,831.0000000000001,Moderate
W212530072054501,100,Gujarat,Bhavnagar,Talaja,Trapaj,21.424365,72.099832,2020,7.0,1518.0,0,163.0,160.0,185.0,670.9999999999999,176.00000000000003,56.00000000000001,57.0,0.47,0.31,1017.0,Poor
W213405072115301,101,Gujarat,Bhavnagar,Talaja,Vavdi,21.529157,72.148943,2020,7.4,1010.0,0,78.0,110.0,70.0,400.0,52.0,66.0,65.0,0.99,0.36,677.0000000000001,Good
W214046072143901,102,Gujarat,Bhavnagar,Bhavnagar,Bhumbhali,21.684484,72.234347,2020,8.1,4605.0,0,858.0,637.0,7.700000000000001,560.0,80.0,88.0,820.0,17.0,0.63,3085.0,Poor
W214600072090001,103,Gujarat,Bhavnagar,Bhavnagar,Bhavnagar1,21.773634,72.145504,2020,7.8,1268.0,0,184.0,74.0,38.0,250.0,60.0,24.0,208.0,0.77,0.38,850.0000000000001,Excellent
W213120071502001,104,Gujarat,Bhavnagar,Palitana,Palitana2,21.518444,71.832326,2020,7.2,950.0,0,113.0,51.0,10.0,369.99999999999994,92.0,34.0,57.0,6.22,0.26,637.0,Good
W212530071544501,105,Gujarat,Bhavnagar,Palitana,Sajnasar,21.428723,71.914439,2020,7.8,895.0,0,78.0,48.99999999999999,27.0,330.0,76.0,34.0,65.0,3.1,0.42,600.0000000000001,Good
W212837071482201,106,Gujarat,Bhavnagar,Palitana,Vadal,21.447377,71.853459,2020,7.8,1055.0,0,142.0,52.0,100.0,410.0,72.0,56.00000000000001,80.0,0.48,0.32,707.0,Good
W220105071420001,107,Gujarat,Bhavnagar,Gadhada,Ningala,22.019153,71.702401,2020,8.1,598.0,0,57.0,32.0,8.4,90.0,16.0,12.0,105.0,0.6700000000000002,0.45,401.0,Excellent
W214800071303001,108,Gujarat,Bhavnagar,Gadhada,Dhasa,21.802794,71.512114,2020,8.2,861.0,0,92.0,48.0,39.0,270.0,68.0,24.0,94.0,0.32,0.33,577.0000000000001,Excellent
W213235071335501,109,Gujarat,Bhavnagar,Gariadhar,Gariyadhar,21.54434,71.563631,2020,8.2,1523.0,0,319.0,142.0,94.0,430.0,60.0,68.0,190.00000000000003,0.46,0.45,1020.0000000000001,Moderate
W213300071431501,110,Gujarat,Bhavnagar,Palitana,Panchpipla,21.544559,71.724855,2020,8.1,1156.0,0,170.0,73.0,26.0,300.0,40.0,49.0,157.0,0.20000000000000004,0.55,775.0,Excellent
W213815071420001,111,Gujarat,Bhavnagar,Palitana,Khijadiya,21.624198,71.710835,2020,8.2,2267.0,0,432.0,108.0,23.0,280.0,40.0,44.0,390.0,0.16,1.28,1519.0,Good
W215800071344501,112,Gujarat,Bhavnagar,Gadhada,Gadhada2,21.964343,71.578697,2020,8.1,814.0,0,78.0,32.0,10.0,290.0,80.0,22.0,69.0,7.97,0.31,545.0000000000001,Good
W220330071380001,113,Gujarat,Bhavnagar,Gadhada,Tatam,22.065693,71.629663,2020,8.1,5062.0,0,1283.0,288.0,365.0,2022.0,289.0,316.0,322.0,1.5200000000000002,0.48000000000000004,3392.0,Worst
W221345071361501,114,Gujarat,Bhavnagar,Botad,Tardhera,22.227122,71.607596,2020,8.2,1812.0,0,319.0,99.0,234.0,661.0,115.99999999999999,90.0,114.0,1.04,0.42,1214.0,Poor
W182720076052901,115,Gujarat,Chhota Udaipur,Sankheda,Govindpur,22.21554,73.73995,2020,8.0,6995.0,0,2028.0,488.0,20.0,1591.0,148.29599999999996,297.0,1000.0,5.8,1.9,4687.0,Poor
W221515073383001,116,Gujarat,Chhota Udaipur,Sankheda,Pitha,22.26467,73.65013,2020,8.0,865.0,0,113.0,18.0,47.0,350.0,52.104,54.0,57.0,1.9,0.9,580.0,Good
W215845073563001,117,Gujarat,Chhota Udaipur,Nasvadi,Kaprali,21.97604,73.96454,2020,7.8,632.0,0,28.0,22.0,54.0,270.0,68.0,24.0,36.0,1.5,0.67,423.0,Good
W220215073531501,118,Gujarat,Chhota Udaipur,Nasvadi,Sengpur,22.04427,73.88792,2020,7.7,541.0,0,28.0,14.0,22.0,240.0,60.0,22.0,27.0,0.3,0.57,362.0,Excellent
W221200073540001,119,Gujarat,Chhota Udaipur,Jetpur Pavi,Bhindol,22.20112,73.89711,2020,8.2,1750.0,0,92.0,26.0,3.8999999999999995,350.0,28.0,68.0,285.0,0.77,4.0,1173.0,Good
W221115073591501,120,Gujarat,Chhota Udaipur,Kavant,Chavaria,22.16959,74.00017,2020,7.9,1449.0,0,199.0,55.0,101.0,410.0,64.0,61.0,178.0,2.6,4.05,970.9999999999999,Good
W222200074123001,121,Gujarat,Chhota Udaipur,Chhota Udaipur,Ferkuva,22.36378,74.21427,2020,7.6,642.0,0,71.0,23.0,37.0,300.0,88.00000000000001,19.456,17.0,3.3999999999999995,0.45,430.0,Good
W223100073563001,122,Gujarat,Chhota Udaipur,Chhota Udaipur,Kevadi,22.52246,73.93426,2020,7.5,518.0,0,43.0,21.0,9.3,190.0,60.0,9.728,38.99999999999999,0.22,0.9300000000000002,347.0,Excellent
W222030073500001,123,Gujarat,Chhota Udaipur,Jetpur Pavi,Pavi,22.3406,73.83452,2020,8.0,2007.0,0,376.0,132.0,12.0,480.0,128.0,38.912,258.0,10.0,0.95,1345.0,Moderate
W225400074030001,124,Gujarat,Dohad,Limkheda,Wadia,22.893669,74.04171,2020,8.1,2323.0,0,483.0,185.0,65.0,800.0,208.0,68.0,160.0,10.0,1.7,1556.0,Poor
W224200073550001,125,Gujarat,Dohad,Devgad Baria,Devgadh bariya,22.699751,73.916801,2020,8.2,918.0,0,142.0,67.0,16.0,210.0,40.0,27.0,119.0,3.3,0.9600000000000001,615.0000000000001,Excellent
W224215073501501,126,Gujarat,Dohad,Devgad Baria,Khandania,22.604332,73.89665,2020,7.9,699.0,0,28.0,20.0,24.0,210.0,60.0,15.0,57.0,1.5,1.0,468.0,Excellent
